DATE;TIME;OPEN;HIGH;LOW;CLOSE;TICKVOL;VOL;SPREAD
2015.01.02;00:00:00;1.20999;1.21076;1.20007;1.20016;41747;0;50
2015.01.02;08:00:00;1.20538;1.20690;1.20344;1.20573;13196;0;10
2015.01.02;12:00:00;1.20574;1.20577;1.20250;1.20302;13937;0;11
2015.01.02;16:00:00;1.20301;1.20330;1.20035;1.20092;18268;0;9
2015.01.02;20:00:00;1.20093;1.20150;1.19997;1.20014;7681;0;10
2015.01.05;00:00:00;1.19026;1.19763;1.18642;1.19541;80298;0;12
2015.01.05;04:00:00;1.19543;1.19647;1.19253;1.19343;10254;0;11
2015.01.05;08:00:00;1.19343;1.19757;1.19303;1.19539;18509;0;11
2015.01.05;12:00:00;1.19538;1.19566;1.18866;1.19123;21081;0;10
2015.01.05;16:00:00;1.19125;1.19410;1.19081;1.19230;19164;0;10
2015.01.05;20:00:00;1.19228;1.19489;1.19142;1.19317;8449;0;10
2015.01.06;00:00:00;1.19300;1.19686;1.18840;1.19402;66609;0;12
2015.01.06;04:00:00;1.19403;1.19577;1.19399;1.19566;8496;0;11
2015.01.06;08:00:00;1.19567;1.19682;1.19045;1.19072;18106;0;11
2015.01.06;12:00:00;1.19073;1.19188;1.18836;1.19068;20266;0;10
2015.01.06;16:00:00;1.19069;1.19577;1.18869;1.19215;24051;0;10
2015.01.06;20:00:00;1.19216;1.19357;1.18869;1.18887;13114;0;11
2015.01.07;00:00:00;1.18889;1.18963;1.18020;1.18765;75834;0;12
2015.01.07;04:00:00;1.18764;1.18797;1.18660;1.18777;8206;0;10
2015.01.07;08:00:00;1.18777;1.18956;1.18513;1.18530;19820;0;11
2015.01.07;12:00:00;1.18529;1.18755;1.18184;1.18295;23909;0;10
2015.01.07;16:00:00;1.18294;1.18345;1.18014;1.18287;20884;0;9
2015.01.07;20:00:00;1.18287;1.18580;1.18080;1.18386;14502;0;11
2015.01.08;00:00:00;1.18373;1.18473;1.17541;1.18250;62739;0;12
2015.01.08;04:00:00;1.18251;1.18306;1.18164;1.18206;8054;0;9
2015.01.08;08:00:00;1.18205;1.18235;1.17797;1.17809;17288;0;10
2015.01.08;12:00:00;1.17808;1.17882;1.17536;1.17868;19717;0;10
2015.01.08;16:00:00;1.17868;1.18186;1.17713;1.18165;20375;0;9
2015.01.08;20:00:00;1.18164;1.18165;1.17796;1.17899;9092;0;11
2015.01.09;00:00:00;1.17909;1.18457;1.17625;1.18003;68584;0;12
2015.01.09;04:00:00;1.18004;1.18143;1.17994;1.18101;8899;0;11
2015.01.09;08:00:00;1.18098;1.18194;1.17844;1.18150;16264;0;10
2015.01.09;12:00:00;1.18151;1.18317;1.17623;1.17871;20463;0;10
2015.01.09;16:00:00;1.17871;1.18440;1.17722;1.18293;26240;0;10
2015.01.09;20:00:00;1.18299;1.18450;1.18299;1.18402;9996;0;10
2015.01.12;00:00:00;1.18526;1.18706;1.17862;1.18564;61953;0;12
2015.01.12;04:00:00;1.18564;1.18622;1.18447;1.18608;7877;0;11
2015.01.12;08:00:00;1.18609;1.18702;1.18046;1.18125;17527;0;9
2015.01.12;12:00:00;1.18126;1.18254;1.17856;1.18230;18353;0;9
2015.01.12;16:00:00;1.18231;1.18442;1.18084;1.18253;20063;0;9
2015.01.12;20:00:00;1.18254;1.18452;1.18247;1.18325;9103;0;11
2015.01.13;00:00:00;1.18319;1.18594;1.17534;1.18443;72845;0;12
2015.01.13;04:00:00;1.18440;1.18589;1.18230;1.18271;10411;0;11
2015.01.13;08:00:00;1.18270;1.18515;1.17936;1.18077;18776;0;11
2015.01.13;12:00:00;1.18076;1.18103;1.17665;1.17692;19428;0;10
2015.01.13;16:00:00;1.17691;1.17992;1.17529;1.17838;21858;0;9
2015.01.13;20:00:00;1.17840;1.17874;1.17582;1.17718;13842;0;11
2015.01.14;00:00:00;1.17685;1.18463;1.17273;1.17730;77847;0;12
2015.01.14;04:00:00;1.17730;1.17940;1.17671;1.17912;10987;0;11
2015.01.14;08:00:00;1.17911;1.18106;1.17267;1.17438;22696;0;9
2015.01.14;12:00:00;1.17437;1.18451;1.17370;1.18241;22317;0;10
2015.01.14;16:00:00;1.18243;1.18393;1.17714;1.17864;23982;0;10
2015.01.14;20:00:00;1.17869;1.17918;1.17749;1.17881;11960;0;11
2015.01.15;00:00:00;1.17868;1.17925;1.15680;1.17745;99341;0;11
