DATE;TIME;OPEN;HIGH;LOW;CLOSE;TICKVOL;VOL;SPREAD
2015.01.02;00:00:00;1.20999;1.21076;1.20007;1.20016;41747;0;50
2015.01.02;08:00:00;1.20538;1.20690;1.20250;1.20302;27133;0;10
2015.01.02;16:00:00;1.20301;1.20330;1.19997;1.20014;25949;0;9
2015.01.05;00:00:00;1.19026;1.19763;1.18642;1.19343;90552;0;11
2015.01.05;08:00:00;1.19343;1.19757;1.18866;1.19123;39590;0;10
2015.01.05;16:00:00;1.19125;1.19489;1.19081;1.19317;27613;0;10
2015.01.06;00:00:00;1.19300;1.19686;1.18840;1.19566;75105;0;11
2015.01.06;08:00:00;1.19567;1.19682;1.18836;1.19068;38372;0;10
2015.01.06;16:00:00;1.19069;1.19577;1.18869;1.18887;37165;0;10
2015.01.07;00:00:00;1.18889;1.18963;1.18020;1.18777;84040;0;10
2015.01.07;08:00:00;1.18777;1.18956;1.18184;1.18295;43729;0;10
2015.01.07;16:00:00;1.18294;1.18580;1.18014;1.18386;35386;0;9
2015.01.08;00:00:00;1.18373;1.18473;1.17541;1.18206;70793;0;9
2015.01.08;08:00:00;1.18205;1.18235;1.17536;1.17868;37005;0;10
2015.01.08;16:00:00;1.17868;1.18186;1.17713;1.17899;29467;0;9
2015.01.09;00:00:00;1.17909;1.18457;1.17625;1.18101;77483;0;11
2015.01.09;08:00:00;1.18098;1.18317;1.17623;1.17871;36727;0;10
2015.01.09;16:00:00;1.17871;1.18450;1.17722;1.18402;36236;0;10
2015.01.12;00:00:00;1.18526;1.18706;1.17862;1.18608;69830;0;11
2015.01.12;08:00:00;1.18609;1.18702;1.17856;1.18230;35880;0;9
2015.01.12;16:00:00;1.18231;1.18452;1.18084;1.18325;29166;0;9
2015.01.13;00:00:00;1.18319;1.18594;1.17534;1.18271;83256;0;11
2015.01.13;08:00:00;1.18270;1.18515;1.17665;1.17692;38204;0;10
2015.01.13;16:00:00;1.17691;1.17992;1.17529;1.17718;35700;0;9
2015.01.14;00:00:00;1.17685;1.18463;1.17273;1.17912;88834;0;11
2015.01.14;08:00:00;1.17911;1.18451;1.17267;1.18241;45013;0;9
2015.01.14;16:00:00;1.18243;1.18393;1.17714;1.17881;35942;0;10
2015.01.15;00:00:00;1.17868;1.17925;1.15680;1.17669;107789;0;11
2015.01.15;08:00:00;1.17668;1.17855;1.15728;1.16985;56107;0;9
2015.01.15;16:00:00;1.16985;1.17026;1.15673;1.16298;50350;0;9
2015.01.16;00:00:00;1.16303;1.16486;1.14601;1.16287;110726;0;11
2015.01.16;08:00:00;1.16286;1.16479;1.15737;1.15843;43437;0;10
2015.01.16;16:00:00;1.15843;1.15883;1.14594;1.15650;50091;0;9
2015.01.19;00:00:00;1.15495;1.16389;1.15495;1.15611;67719;0;9
2015.01.19;08:00:00;1.15621;1.16273;1.15512;1.16096;22205;0;7
2015.01.19;16:00:00;1.16099;1.16381;1.15994;1.16060;10456;0;8
2015.01.20;00:00:00;1.16013;1.16149;1.15406;1.15833;60149;0;8
2015.01.20;08:00:00;1.15832;1.16138;1.15676;1.16032;17161;0;11
2015.01.20;16:00:00;1.16035;1.16035;1.15397;1.15479;12666;0;6
2015.01.21;00:00:00;1.15524;1.16796;1.15406;1.15739;66345;0;7
2015.01.21;08:00:00;1.15741;1.16361;1.15464;1.16322;17799;0;8
2015.01.21;16:00:00;1.16321;1.16790;1.15614;1.16087;21750;0;6
2015.01.22;00:00:00;1.16087;1.16509;1.13163;1.15903;75556;0;10
2015.01.22;08:00:00;1.15902;1.16485;1.15203;1.15610;21640;0;7
2015.01.22;16:00:00;1.15612;1.15636;1.13156;1.13642;28098;0;9
2015.01.23;00:00:00;1.13533;1.13742;1.11142;1.13351;84159;0;11
2015.01.23;08:00:00;1.13351;1.13556;1.11145;1.12340;31823;0;8
2015.01.23;16:00:00;1.12343;1.12881;1.12023;1.12032;21730;0;9
2015.01.26;00:00:00;1.11525;1.12955;1.10970;1.11843;74468;0;10
2015.01.26;08:00:00;1.11848;1.12760;1.11848;1.12680;22729;0;9
2015.01.26;16:00:00;1.12683;1.12945;1.12318;1.12373;15659;0;8
2015.01.27;00:00:00;1.12406;1.14225;1.12237;1.12377;68255;0;9
2015.01.27;08:00:00;1.12375;1.13451;1.12230;1.13377;30620;26218873000;1
2015.01.27;16:00:00;1.13380;1.14221;1.13330;1.13803;28403;0;1
2015.01.28;00:00:00;1.13748;1.13832;1.12762;1.13550;75658;0;3
2015.01.28;08:00:00;1.13550;1.13817;1.13263;1.13504;27195;0;1
2015.01.28;16:00:00;1.13508;1.13689;1.12757;1.12865;31335;0;1
